Product URL,Product Name,Product Price,Rating,Number of Reviews
/b/ref=sxts_spks_0_0_5b47f725-4fa5-48ae-98f9-662935e233b4?node=21102587031&pd_rd_w=VTzQL&content-id=amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4:amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_p=5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_r=87HAK2PME4K7KP9Q05SS&pd_rd_wg=B8qJZ&pd_rd_r=dc2fc36c-2f06-4832-ac70-0e8b4eff2609&qid=1697641411,N/A,N/A,N/A,N/A
N/A,Price and other details may vary based on product size and colour.,N/A,N/A,Price and other details may vary based on product size and colour.
/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),₹499₹499,4.3 out of 5 stars,"13,238"
/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"₹1,049₹1,049",4.0 out of 5 stars,"56,357"
/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹799₹799,4.3 out of 5 stars,"6,886"
/s/ref=sxin_15_trfobq2av2?rh=n%3A14737350031&k=bags&i=specialty-aps&srs=14737350031&pd_rd_w=5hGTF&content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5:amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=87HAK2PME4K7KP9Q05SS&pd_rd_wg=IYbNT&pd_rd_r=5c439e2c-0620-4894-917a-b504fa32b481&qid=1697641411,"Amazon Basics Opel Laptop Bag/Office/College Backpack for 15.6 inch laptop(20 L, Grey)",₹499₹499,4.0 out of 5 stars,Amazon’s private and select curated brands
/Amazon-Basics-Laptop-College-Backpack/dp/B0C8NSJ4RD?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,"Amazon Basics Opel Laptop Bag/Office/College Backpack for 15.6 inch laptop(20 L, Grey)",₹499₹499,4.0 out of 5 stars,8
/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,Amazon Basics Laptop Backpack,₹599₹599,4.2 out of 5 stars,639
/Amazon-Basics-Casual-Backpack-15-6-inch/dp/B09W4WJ1CB?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,Amazon Basics 20 ltrs Casual/Travel/College Backpack for 15.6-inch Laptop | Water Resistant Fabric,₹359₹359,4.0 out of 5 stars,420
/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y?sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",₹289₹289,4.2 out of 5 stars,92
